,Region,Case Number,Case Name,Case Type,City,State,Election Held Date,Number of Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,"Stipulated
/ Consent
/ Directed",Certification of Representative Date (Win),Certification of Results Date (Loss),Case Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes for Labor Org 3,Labor Org 3 Name,For Proposition,Against Proposition	,"Stipulated / Consent
/ Directed",Against Proposition,Dispute Unit City,Dispute Unit State,Num Eligible Voters,"Stipulated
/ Consent / Directed",Cert of Rep (Win),Cert of Results (Loss),Closed Date,Votes For Labor Org3,Labor Org3,Stipulated/Consent,Case ID,Stipulated / Consent / Directed
0,"01, 34",01-RC-087226,"Associates and Leisure Activities, LLC",RC,Boston,MA,2014-12-29,5.0,3.0,1.0,"international alliance of theatrical stage employees, moving picture technicians, artists and allied",Stipulated,,LOSS,2015-01-13,Certification of Results,,,,,,,,,,,,,,,,,,,,,
1,"01, 34",01-RC-127082,"GREEN MOUNTAIN COMMUNITY NETWORK, INC.",RC,BENNINGTON,VT,2014-05-28,23.0,10.0,11.0,"chauffeurs, teamsters, warehousemen and helpers union no. 597 a/w international brotherhood of teams",Stipulated,WON,,2014-12-16,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
2,"01, 34",01-RC-129480,"BAY STATE DRYWALL COMPANY, INC.",RC,EAST FREETOWN,MA,2014-07-10,24.0,8.0,10.0,new england regional council of carpenters,Stipulated,WON,,2015-02-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3,"01, 34",01-RC-130289,NCR,RC,BOSTON,MA,2014-07-21,41.0,14.0,17.0,international brotherhood of electrical workers local 2222,Stipulated,WON,,2015-04-02,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,"01, 34",01-RC-134858,ATHOL HOSPITAL,RC,Athol,MA,2014-09-26,42.0,17.0,22.0,massachusetts nurses association,Stipulated,WON,,2014-10-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,"01, 34",01-RC-135074,"FIRST STUDENT, INC.",RC,MILFORD,NH,2014-09-26,41.0,6.0,34.0,"international brotherhood of teamsters, local 633 of new hampshire",Stipulated,WON,,2014-10-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
6,"01, 34",01-RC-135960,"DECCO, INC.",RC,BROOKLINE,NH,2014-10-16,88.0,68.0,17.0,"united association of journeymen and apprentices, plumbers, pipefitters, sprinkler fitters and servi",Stipulated,,LOSS,2014-10-28,Certification of Results,,,,,,,,,,,,,,,,,,,,,
7,"01, 34",01-RC-136502,"OCEAN STATE TRANSIT, LLC",RC,NEWPORT,RI,2014-10-22,8.0,5.0,2.0,international brotherhood of teamsters local 251,Stipulated,,LOSS,2014-11-03,Certification of Results,,,,,,,,,,,,,,,,,,,,,
8,"01, 34",01-RC-137438,"ALTERNATIVE SUPPORTS, INC.",RC,WALTHAM,MA,2014-12-11,14.0,0.0,10.0,"truck drivers, chauffeurs and helpers union no. 42 a/w international brotherhood of teamsters",Directed,WON,,2015-01-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
9,"01, 34",01-RC-137636,"SSC METHUEN OPERATING COMPANY LLC, D/B/A METHUEN HEALTH & REHABILITATION CENTER",RC,METHUEN,MA,2014-11-06,51.0,25.0,22.0,"international association of machinists and aerospace workers, district lodge 15, afl-cio",Stipulated,,LOSS,2015-06-25,Certification of Results,,,,,,,,,,,,,,,,,,,,,
10,"01, 34",01-RC-138009,"CON-WAY FREIGHT, INC.",RC,MANCHESTER,NH,2014-11-13,45.0,29.0,15.0,"international brotherhood of teamsters, local 633 of new hampshire",Stipulated,,LOSS,2014-11-20,Certification of Results,,,,,,,,,,,,,,,,,,,,,
11,"01, 34",01-RC-138050,BURLINGTON COLLEGE,RC,Burlinton,VT,2014-11-24,46.0,4.0,23.0,service employees international union,Stipulated,WON,,2014-12-05,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
12,"01, 34",01-RC-138052,CHAMPLAIN COLLEGE,RC,BURLINGTON,VT,2014-11-24,222.0,30.0,118.0,service employees international union,Stipulated,WON,,2014-12-05,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
13,"01, 34",01-RC-138144,TRUSTEES OF BOSTON UNIVERSITY,RC,Boston,MA,2014-12-05,8.0,0.0,6.0,"international brotherhood of police officers/national association of government employees/seiu, loca",Directed,WON,,2014-12-16,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
14,"01, 34",01-RC-138466,SAINT MICHAEL'S COLLEGE,RC,COLCHESTER,VT,2014-12-01,101.0,26.0,46.0,service employees international union,Stipulated,WON,,2014-12-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
15,"01, 34",01-RC-138700,"FRASER PETROLEUM SERVICES, INC.",RC,Newton,MA,2014-11-21,12.0,4.0,8.0,"united association of plumbers, pipefitters, sprinkler fitters and hvac technicians, local 537",Stipulated,WON,,2014-12-02,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
16,"01, 34",01-RC-139034,"BIMBO BAKERIES USA, INC.",RC,CHICOPEE,MA,2014-12-01,25.0,8.0,15.0,"bakery confectionery & tobacco workers and grain miller international union local 53, afl-cio clc",Stipulated,WON,,2014-12-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
17,"01, 34",01-RC-139126,VERIZON WIRELESS,RC,EVERETT,MA,2014-12-10,15.0,4.0,9.0,communications workers of america,Stipulated,WON,,2014-12-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
18,"01, 34",01-RC-139363,"Alta Bicycle Share, Inc. d/b/a Hubway",RC,CHARLESTOWN,MA,2014-12-04,36.0,8.0,23.0,"transport workers union, local 100 a/w transport workers union of america, afl-cio",Stipulated,WON,,2014-12-15,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
19,"01, 34",01-RC-139493,FIRST STUDENT ABINGTON,RC,ABINGTON,MA,2014-12-01,59.0,8.0,38.0,"international brotherhood of teamsters, a/w general teamsters, chauffeurs, warehousemen & helpers of",Stipulated,WON,,2014-12-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
20,"01, 34",01-RC-139754,BOSTON UNIVERSITY,RC,BOSTON,MA,2015-01-13,799.0,158.0,319.0,"service employees international union, local 509",Stipulated,WON,,2015-02-18,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
21,"01, 34",01-RC-139931,MERRIMACK COLLEGE,RC,North Andover,MA,2015-01-22,18.0,3.0,15.0,american coalition of public safety (acops) local 18,Directed,WON,,2015-02-03,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
22,"01, 34",01-RC-139983,RHODE ISLAND SCHOOL OF DESIGN,RC,Providence,RI,2014-12-16,24.0,8.0,16.0,national education association rhode island,Stipulated,WON,,2014-12-29,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
23,"01, 34",01-RC-140081,COMPUTER SCIENCES CORPORATION (CSC),RC,CAMP EDWARDS,MA,2014-12-10,3.0,0.0,3.0,"international association of machinists & aerospace workers, afl-cio, district lodge 1",Stipulated,WON,,2014-12-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
24,"01, 34",01-RC-140673,YRC Inc. (d/b/a YRC Freight),RC,Shrewsbury,MA,2014-12-10,3.0,0.0,3.0,"international brotherhood of teamsters, local 170",Stipulated,WON,,2014-12-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
25,"01, 34",01-RC-141130,FIRST STUDENT INC.,RC,TILTON,NH,2015-01-09,63.0,14.0,39.0,"international brotherhood of teamsters, chauffeurs, and helpers local union no. 633",Stipulated,WON,,2015-01-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
26,"01, 34",01-RC-141445,"ELAD INDUSTRIAL INSULATION, INC.",RC,SHARON,MA,2014-12-29,7.0,2.0,4.0,"international association of heat and frost insulators and asbestos workers local no. 6,
afl-cio",Stipulated,WON,,2015-01-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
27,"01, 34",01-RC-141995,BENTLEY UNIVERSITY,RC,WALTHAM,MA,2015-02-25,229.0,42.0,108.0,service employees international union local 509,Stipulated,WON,,2015-03-09,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
28,"01, 34",01-RC-142086,DPI DEDICATED LOGISTICS - BOSTON,RC,CANTON,MA,2015-01-14,44.0,5.0,37.0,international brotherhood of teamsters local union #25,Stipulated,WON,,2015-01-29,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
29,"01, 34",01-RC-142234,TRUSTEES OF TUFTS COLLEGE,RC,Boston,MA,2015-01-29,94.0,24.0,52.0,service employees international union local 509,Stipulated,WON,,2015-02-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
30,"01, 34",01-RC-142276,"NASHOBA VALLEY MEDICAL CENTER, a STEWARD FAMILY HOSPITAL",RC,AYER,MA,2015-01-07,38.0,6.0,15.0,1199seiu united healthcare workers east,Stipulated,WON,,2015-01-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
31,"01, 34",01-RC-142281,"NASHOBA VALLEY MEDICAL CENTER, a STEWARD FAMILY HOSPITAL",RC,AYER,MA,2015-01-07,131.0,11.0,51.0,1199seiu united health care workers east,Stipulated,WON,,2015-01-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
32,"01, 34",01-RC-142362,"NASHOBA VALLEY MEDICAL CENTER, a STEWARD FAMILY HOSPTIAL",RC,AYER,MA,2015-01-07,0.0,0.0,3.0,"area trades council - iuoe local 877, ibew local 103, plumbers union local 12, painters district cou",Stipulated,WON,,2015-01-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
33,"01, 34",01-RC-142827,"CMC MAINTENANCE, INC.",RC,BANGOR,ME,2015-01-21,13.0,3.0,1.0,"teamsters union local 340, a/w international brotherhood of teamsters, afl-cio",Stipulated,,LOSS,2015-02-25,Certification of Results,,,,,,,,,,,,,,,,,,,,,
34,"01, 34",01-RC-143134,"HEALTHCARE SERVICES GROUP, INC.",RC,VERNON,CT,2015-01-29,13.0,1.0,10.0,1199seiu united healthcare workers east,Stipulated,WON,,2015-02-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
35,"01, 34",01-RC-144574,"COSTA FRUIT & PRODUCE, INC.",RC,BOSTON,MA,2015-02-27,4.0,2.0,2.0,"teamsters local 25, a/w international brotherhood of teamsters		",Stipulated,,LOSS,2015-06-09,Certification of,,,,,,,,,,,,,,,,,,,,,
36,"01, 34",01-RC-144611,SHAW'S/ STAR MARKET A DIVISION OF ALBERTSON'S D/B/A OSCO PHARMACY,RC,WATERVILLE,ME,2015-04-08,20.0,7.0,11.0,international brotherhood of teamsters local no. 340,Directed,WON,,2015-05-08,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
37,"01, 34",01-RC-145268,"TIME WARNER CABLE NORTHEAST, LLC",RC,PITTSFIELD,MA,2015-08-13,28.0,10.0,14.0,international brotherhood of electricial workers local 2324 afl-cio,Stipulated,WON,,2015-08-24,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
38,"01, 34",01-RC-145829,"DANIELE, INC.",RC,PASCOAG,RI,2015-03-17,23.0,7.0,15.0,international brotherhood of teamsters local 251,Stipulated,WON,,2015-03-30,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
39,"01, 34",01-RC-145840,HBC MANAGEMENT (HANA GROUP),RC,CHARLESTOWN,MA,2015-03-17,20.0,0.0,15.0,"international union, security, police and fire professionals of america (spfpa)",Consent,WON,,2015-03-30,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
40,"01, 34",01-RC-146295,"PIERCE REFRIGERATION, INC.",RC,WEST BRIDGEWATER,MA,2015-03-25,20.0,8.0,11.0,"united association of plumbers, pipefitters, sprinkler fitters and hvac technicians local union 537",Stipulated,WON,,2015-05-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
41,"01, 34",01-RC-146464,"NCS WIRELESS, LLC",RC,MIDDLEBORO,MA,2015-03-25,10.0,5.0,5.0,"international brotherhood of electrical workers local 223, afl-cio",Stipulated,,LOSS,2015-04-06,Certification of Results,,,,,,,,,,,,,,,,,,,,,
42,"01, 34",01-RC-147004,UNIVERSAL PROTECTION SERVICE,RC,TAUNTON,MA,2015-04-04,13.0,1.0,10.0,"united federation of special police & security officers, inc.",Stipulated,WON,,2015-07-30,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
43,"01, 34",01-RC-147033,WMUR-TV HEARST PROPERTIES INC.,RC,MANCHESTER,NH,2015-04-06,20.0,4.0,15.0,"international brotherhood of electrical workers, local 1228",Stipulated,WON,,2015-04-17,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
44,"01, 34",01-RC-147084,Costa Fruit & Produce,RC,BOSTON,MA,2015-04-09,4.0,0.0,4.0,international brotherhood of teamsters local union 25,Stipulated,WON,,2015-04-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
45,"01, 34",01-RC-147842,"Prospect CharterCARE, LLC dba Charter Care Health Partners OUR LADY OF FATIMA HOSPITAL",RC,NORTH PROVIDENCE,RI,2015-04-21,393.0,76.0,221.0,united nurses and allied professionals,Stipulated,WON,,2015-05-04,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
46,"01, 34",01-RC-148184,"ROSEV DAIRY FOODS, INC.",RC,CHELSEA,MA,2015-05-14,23.0,8.0,14.0,"international brotherhood of teamsters, local 25",Directed,WON,,2015-05-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
47,"01, 34",01-RC-148228,LESLEY UNIVERSITY,RC,CAMBRIDGE,MA,2015-05-05,159.0,56.0,81.0,service employees international union local 509,Directed,WON,,2015-06-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
