id,text,Diagnostic,Prognostic,Motivational,Community,Engagement,Political Endorsement
8.60618E+14,"In 1968, Memphis sanitation workers went on strike to demand fair wages and safe working conditions. Dr. Martin Luther King, Jr. joined the strikers in solidarity and delivered his iconic “I Have Been to the Mountaintop“ speech at the historic Mason Temple. Dr. King was assassinated the following day.

Join us Tuesday at 10 a.m. ET as labor, religious and civil rights leaders announce our 18-month initiative to honor the events of 1968 and connect the legacy of the strikers and Dr. King to current issues facing our nation.",0,0,1,1,0,0
4.65966E+14,"Without AFSCME’s front-line heroes, our communities would have not made it through the pandemic. We paid tribute to those heroes in a moving video that spotlighted them and their contributions.",0,0,0,1,1,0
4.16218E+14,"""Safe staffing saves lives!” That was the rallying cry at a press conference Thursday in which AFSCME Secretary-Treasurer Elissa McBride participated. The advocates support legislation that seeks to resolve the national nurse staffing crisis.",1,1,0,0,0,0
1099217371728250,"Learn how Jackie Saunders, AFSCME President Lee Saunders’ mother, passed a legacy of activism and engagement on to her two sons, and why this November, making a voting plan is so important for seniors and retirees.",0,0,0,1,0,0
5.43111E+14,"As we come together with our families this Thanksgiving, working families are preparing to lace up our shoes and hit the streets on 11/29 to speak out for an America where all families and communities can thrive. Join us in over 340 cities in the #FightFor15 as we call for good jobs with good pay, the most inclusive middle class in our nation’s history, and justice on all fronts—economic, racial, immigrant and environmental. Sign-up for an action and raise your voice with us: ",1,1,1,0,0,0
2014535082293520,"“We don’t just have the right to negotiate changes to our pay and working conditions. We have value to add to the conversation. We’re on the front lines. We know where there are potential savings and ways to save services and jobs. The way the governor is acting is a disgrace to our state and a disservice to all Nevadans. He needs to come out of hiding and talk to us.” – Harry Schiffman, president of AFSCME Local 4041, which has filed an unfair labor complaint against the State of Nevada.",1,0,1,0,0,0
9.12924E+14,"“I love working with our clients, but year after year our employer has made it difficult to do our job safely and provide our clients with the best care possible. With collective bargaining, I know my co-workers and I can make changes to improve safety in the workplace and the services we provide” – Ken Edmonds, a developmental support tech in Nevada. Edmonds is part of a group of state workers who became the second unit to file for recognition as AFSCME for when collective bargaining begins.",1,1,0,1,0,0
1700853534095150,"Stand in solidarity with the public service workers on the #COVIDfrontlines doing everything we can to protect our communities.
#FundtheFrontLines",0,0,1,1,0,0
9.69542E+14,How can you make sure your federal government is never shut down? By urging your senator to fund the federal government now. Other ways you can make a difference: thank federal workers for their public service and join our union’s efforts to promote tax fairness. Secretary-Treasurer Elissa McBride explains in this column.,1,1,1,0,0,0
4.2625E+14,"Spotted: AFSCME Retirees turning out for Kamala Harris! When we fight, we win!",0,0,0,1,0,1
2076246516111530,and AFSCME Local 1733 - Memphis was eventually created✊,0,0,0,0,0,0
9.00065E+14,AFSCME President Lee Saunders is calling on the Trump administration and Congress to quickly pass emergency measures that include new funding to protect both front-line workers and the general public.,1,1,1,0,0,0
5.26041E+14,"The best gifts are union made. Choose 100% union made apparel and gear for the holidays! Limited time 20% off discount thru Dec. 31, 2019. Use 2019COM at checkout. Not valid with other offers. Stand with unions this season.",0,0,0,0,1,0
