union,account_match,type
atu,ATUInternational,aflcio
ibb,Boilermakers.Union,aflcio
unite here,unitehere,aflcio
iuec,,aflcio
ua,UnitedAssociation,aflcio
psomua,,independent
ironworkers,unionironworkers,aflcio
iatse,iatse,aflcio
meba,meba1875,aflcio
roofers and waterproofers,unionroofers,aflcio
uwua,theUWUA,aflcio
nea,neatoday,independent
cwa,CWAUnion,aflcio
sindicato de guardias de seguridad y operadores de camiones blindados de puerto rico inc.,,independent
afscme,AFSCME,aflcio
natca,NATCAfamily,aflcio
agma,AmericanGuildofMusicalArtists,aflcio
umwa,UMWAunion,aflcio
metal trades department,Metaltrades,aflcio
bctgm,bctgmunion,aflcio
wgae,WGAEast,aflcio
siu,SeafarersInternational,aflcio
iupat,GoIUPAT,aflcio
uwa,uaw.union,independent
opcmia,OPCMIAIntl,aflcio
smart,smartunion,aflcio
afge,afgeunion,aflcio
opeiu,opeiu,aflcio
sag-aftra,SAGAFTRA,aflcio
apwu,APWUnational,aflcio
iuoe,iuoe.union,aflcio
aft,AFTunion,aflcio
iam,MachinistsUnion,aflcio
ifpte,IFPTE,aflcio
iuanpw,,aflcio
usw,steelworkers,aflcio
ibew,IBEWFB,aflcio
bac,IUBAC,aflcio
afm,afm.org,aflcio
iaff,IAFFofficial,aflcio
mm&p,IOMMP,aflcio
nyhtc,hoteltradescouncil,aflcio
hfiu,,aflcio
twu,TransportWorkersUnion,aflcio
brs,BrotherhoodofRailroadSignalmen,aflcio
aea,AEAStaffOrg,aflcio
ufcw,ufcwinternational,aflcio
nnu,nationalnurses,aflcio
seiu,SEIU,independent
ibt,teamsters,independent
liuna,LaborersInternationalUnionofNorthAmerica,aflcio
csea,csea.now,aflcio
uapd,,aflcio
rwdsu,RWDSU.UFCW,aflcio
