Region,Case Number,Case Name,Case Type,City,State,Election Held Date,Number of Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,"Stipulated
/ Consent
/ Directed",Certification of Representative Date (Win),Certification of Results Date (Loss),Case Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes for Labor Org 3,Labor Org 3 Name,For Proposition,Against Proposition	,"Stipulated / Consent
/ Directed",Against Proposition,Dispute Unit City,Dispute Unit State,Num Eligible Voters,"Stipulated
/ Consent / Directed",Cert of Rep (Win),Cert of Results (Loss),Closed Date,Votes For Labor Org3,Labor Org3,Stipulated/Consent,Case ID,Stipulated / Consent / Directed
"01, 34",01-RC-087226,"Associates and Leisure Activities, LLC",RC,Boston,MA,2014-12-29,5.0,3.0,1.0,"INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES, MOVING PICTURE TECHNICIANS, ARTISTS AND ALLIED",Stipulated,,LOSS,2015-01-13,Certification of Results,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-127082,"GREEN MOUNTAIN COMMUNITY NETWORK, INC.",RC,BENNINGTON,VT,2014-05-28,23.0,10.0,11.0,"CHAUFFEURS, TEAMSTERS, WAREHOUSEMEN AND HELPERS UNION NO. 597 a/w INTERNATIONAL BROTHERHOOD OF TEAMS",Stipulated,WON,,2014-12-16,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-129480,"BAY STATE DRYWALL COMPANY, INC.",RC,EAST FREETOWN,MA,2014-07-10,24.0,8.0,10.0,NEW ENGLAND REGIONAL COUNCIL OF CARPENTERS,Stipulated,WON,,2015-02-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-130289,NCR,RC,BOSTON,MA,2014-07-21,41.0,14.0,17.0,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 2222,Stipulated,WON,,2015-04-02,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-134858,ATHOL HOSPITAL,RC,Athol,MA,2014-09-26,42.0,17.0,22.0,MASSACHUSETTS NURSES ASSOCIATION,Stipulated,WON,,2014-10-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-135074,"FIRST STUDENT, INC.",RC,MILFORD,NH,2014-09-26,41.0,6.0,34.0,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 633 OF NEW HAMPSHIRE",Stipulated,WON,,2014-10-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-135960,"DECCO, INC.",RC,BROOKLINE,NH,2014-10-16,88.0,68.0,17.0,"UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES, PLUMBERS, PIPEFITTERS, SPRINKLER FITTERS AND SERVI",Stipulated,,LOSS,2014-10-28,Certification of Results,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-136502,"OCEAN STATE TRANSIT, LLC",RC,NEWPORT,RI,2014-10-22,8.0,5.0,2.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251,Stipulated,,LOSS,2014-11-03,Certification of Results,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-137438,"ALTERNATIVE SUPPORTS, INC.",RC,WALTHAM,MA,2014-12-11,14.0,0.0,10.0,"TRUCK DRIVERS, CHAUFFEURS AND HELPERS UNION NO. 42 A/W INTERNATIONAL BROTHERHOOD OF TEAMSTERS",Directed,WON,,2015-01-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-137636,"SSC METHUEN OPERATING COMPANY LLC, D/B/A METHUEN HEALTH & REHABILITATION CENTER",RC,METHUEN,MA,2014-11-06,51.0,25.0,22.0,"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, DISTRICT LODGE 15, AFL-CIO",Stipulated,,LOSS,2015-06-25,Certification of Results,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-138009,"CON-WAY FREIGHT, INC.",RC,MANCHESTER,NH,2014-11-13,45.0,29.0,15.0,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 633 OF NEW HAMPSHIRE",Stipulated,,LOSS,2014-11-20,Certification of Results,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-138050,BURLINGTON COLLEGE,RC,Burlinton,VT,2014-11-24,46.0,4.0,23.0,Service Employees International Union,Stipulated,WON,,2014-12-05,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
