State,Abbreviation,Year Constitutional Amendment Adopted,Year Statute Enacted
Alabama,AL,2016.0,1953.0
Arizona,AZ,1946.0,1947.0
Arkansas,AR,1944.0,1947.0
Florida,FL,1968.0,1943.0
Georgia,GA,,1947.0
Idaho,ID,,1985.0
Indiana,IN,,2012.0
Iowa,IA,,1947.0
Kansas,KS,1958.0,
Kentucky,KY,,2017.0
Louisiana,LA,,1976.0
Mississippi,MS,1960.0,1954.0
Nebraska,NE,1946.0,1947.0
Nevada,NV,,1952.0
North Carolina,NC,,1947.0
North Dakota,ND,,1947.0
Oklahoma,OK,2001.0,2001.0
South Carolina,SC,,1954.0
South Dakota,SD,1946.0,1947.0
Tennessee,TN,2022.0,1947.0
Texas,TX,,1993.0
Utah,UT,,1955.0
Virginia,VA,,1947.0
Wisconsin,WI,,2015.0
West Virginia,WV,2016.0,2016.0
Wyoming,WY,,1963.0

