Topic,Count,Name,Representation,Representative_Docs
-1,56474,-1_solidarity_workers_union_strike,"['solidarity', 'workers', 'union', 'strike', 'worker', 'support', 'org', 'teamsters', 'jobs', 'labor']","['Sean Campbell, president of Teamsters Local 813 in NYC:\n\n""In a few short months, black workers have gone from being called heroes for doing essential jobs while exposing ourselves to coronavirus to being arrested for doing those same jobs during curfew, or joining peaceful protests. There’s nothing like a pandemic and police billy clubs to remind a black man where he stands in America.\n\n""I grew up in the Red Hook projects in the 1980s. Police harassment felt normal. At 19, I got a job as a sanitation worker, which was my ticket to the middle class and a lifetime in the labor movement.\n\n""I know what it’s like to be unarmed, shoveling snow in my driveway, and be charged by six officers with their guns drawn. I know what it\'s like to shout “I can’t breathe” as an officer stands on my face.\n\n""I also know what it’s like to be caught \'working while black.\' Once my partner and I were picking up garbage in a neighborhood we worked in every night when we were attacked by a white business owner who was mad we wouldn’t take his trash, even though he wasn’t a customer. We defended ourselves, and when the police arrived, we were the ones who were arrested. My partner was on parole and had to go back to prison...\n\n""It’s not a coincidence that the same group of people who are targeted by police violence also work in low-wage, dangerous jobs; live in overcrowded, polluted communities, and are dying fastest from the coronavirus... \n\n""At a moment when uprisings against racist policing have pushed even a once-in-a-century pandemic off the front page, we must remember that the coronavirus has killed black and Latino New Yorkers, those most likely to work essential jobs, at twice the rate of whites... \n\n""Black workers need an end to racist policing, and we need more protections on the job. Every worker should be provided with masks and other safety equipment.""', 'This powerful piece by Bloomberg examines the difficult road ahead for our working brothers and sisters in Adams County, Ohio. In 2016, Dayton Power & Light announced that it would be shuttering the Stuart and Killen plants in 2018. These plants were the largest employer in Adams County, and with over 380 employees represented by UWUA Local 175, this announcement left little more than a year for hundreds of workers ""to answer the question being asked in other deindustrializing places all over the country: Stay or go?""\n\n""Lee Anderson, director of governmental affairs at the national Utility Workers Union, has spent years trying to get elected officials around the country to grapple with what’s happening in places such as Adams County. But there’s just no political will, he says. There’s support on the left for public investment in struggling areas, but less so, he says, when it comes to communities that are increasingly voting Republican—Adams County among them—and whose decline is linked to fossil fuels. On the right, he says, there’s no appetite for public investment, period. Not to mention that the scale of the challenge is so huge and the potential solutions so expensive.""\n\n""But this doesn’t mean inaction is excusable or that it’s enough to tell people to find work elsewhere, Anderson says. \'The problem here is trying to treat people like interchangeable widgets,\' he says. \'They’re not. They’re human beings embedded in communities. We’re forcing cultural and social change on people, and people don’t like that. They don’t move three states away for a hypothetical job. They want to live where they are because their parents are in the same town, and their grandmother is in the next town, and they go to church there. Just picking people up and relocating them, it doesn’t work like that. And on the flip side, even if it did work out for an individual, consider what you left behind: What is the ramification for your family and community, now that you’re gone for good?\'""', '""The Organizing Committee is the beating heart of our plan to win, which we call the 30-50-70 strategy. \n \nWhen 30% of your coworkers sign union cards, you are ready to go public with your organizing committee.  \n \nThat means an organizing committee made up of autoworkers at your plant publicly telling the world that you are on track to unionize your workplace. We’re going to be loud and proud about our union. \n \nWhen 50% of your coworkers have signed cards, I will personally join you and your coworkers for a big rally in your town so we can show the world that a majority of workers at your plant are willing to fight for your union.  \n \nWhen 70% of you and your coworkers have signed cards and you’ve built a strong organizing committee with representatives from every department, line and shift, we will demand the company recognize your union – or take it to a vote, and win. \n \nJust like our Stand Up Strike, no single company is the target.  \n \nThey’re ALL the target. \n \nAnd just like our Stand Up Strike, they won’t know what’s coming next.""\n\n— #UAW President Shawn Fain\n\n#StandUpUAW #1u']"
0,5818,0_we_our_read_association,"['we', 'our', 'read', 'association', 'staff', 'state', 'support', 'us', 'students', 'education']","['""This is my 11th year as a teacher in Guilford County Schools. I’m grateful that I’ve had the chance to work with a whole range of K-12 students with disabilities.  \n\nOne of the things I really like about being a special education teacher is that you’re teaching students the practical and meaningful skills they need to learn for life. I’m an adaptive curriculum teacher, so I can set up my own pacing guide and really differentiate every lesson based on the students’ needs.\n\nAs a beginning teacher, however, I initially had no idea about advocacy work or the Guilford County Association of Educators (@GCAE4ME). All of that changed when I became aware of how the North Carolina General Assembly was treating public education. For example, we were suddenly told that salary increases for those with a master’s degree would no longer be applied. Not long after, they began combining special education classrooms as part of statewide budget cuts. \n\nAt the time, I got involved in the “Red for Ed\'\' rallies. I used a personal day to attend the march, and after attending I got acquainted with the then-president of the GCAE. He and the other members really taught me how to advocate as a public school educator, and how local elections and local legislators impact our day-to-day lives. Ever since then, I’ve been actively involved in canvassing, organizing efforts, and training sessions. \n\nWe still have a lot of work to do when it comes to supporting our special needs students. Guilford County Schools used to have behavioral specialists and teaching assistants for some of the more difficult classrooms. All those positions are gone, so the management burden is all on the classroom teachers. That’s why it’s so important for all public education staff to be engaged in the political process.  \n\nThe decision makers we elect directly impact the quality of public education. Our working conditions and our students’ learning environments are interconnected. If teachers want to improve them, then we must be engaged in political action.""\n\nJamie Yi, high school special education teacher, Greensboro, NC #NEAMemberMonday\n\nBe sure to share this Member Monday with an outstanding special education teacher you know or tag them in the comments below!', '""The joy that I see is incredible of both teachers and kids saying, I want to be in school with my kids."" — AFT President Randi Weingarten on students and educators returning to in-person learning.', 'Yesterday, the Florida Education Association (FEA) led 15,000 public school supporters at a powerful and historic rally on the state Capitol, demanding more funds for public schools and amplifying the needs of their students. \n\n“This is a ‘which side are you on?’ moment,” AFT President Randi Weingarten said. “It’s time to make public schools the schools our children deserve—and the schools where our educators have the tools and respect they need for our kids to soar.”\n\nRead more:']"
1,4368,1_unionsforall_workers_union_unions,"['unionsforall', 'workers', 'union', 'unions', 'labor', 'worker', 'wages', 'workplaces', 'solidarity', 'work']","[""Support for labor unions has reached 71 percent - the highest level since 1965.\nWhy are unions so popular? Because people see the vast power that corporations hold over us. They know it's wrong and that a powerful, organized labor movement is the only real way to fight back. Stand union proud and union strong, APWU family!"", 'This is what unions do.', 'The union makes us strong. When we stand together, we have power. #1u #UnionStrong']"
2,3776,2_org_legislative_faa_members,"['org', 'legislative', 'faa', 'members', 'convention', 'federal', 'professionalism', 'collaboration', 'funding', 'events']","['NATCA Thanks Transportation Chairman DeFazio for More Than Three Decades of Leadership to Improve Aviation Safety  \n\nWASHINGTON – The National Air Traffic Controllers Association (NATCA) thanks and congratulates Oregon Congressman and House Committee on Transportation and Infrastructure (T&I) Chairman Peter DeFazio, who for more than three decades has been a passionate advocate and fierce champion for aviation safety, transportation labor, and the front-line workers who power the engine that drives our nation’s economy. DeFazio announced Wednesday that he will not seek re-election in 2022.\n\nChairman DeFazio has proudly served his constituents in Oregon’s 4th congressional district since 1987, the same year that NATCA was certified by the National Labor Relations Authority as the exclusive bargaining representative of Federal Aviation Administration (FAA) air traffic controllers. \n\n“The 20,000 aviation safety professionals that NATCA represents owe a tremendous debt of gratitude to Chairman DeFazio, who has had their backs at all times, fighting for them and for the safety of the National Airspace System,” NATCA President Rich Santa said. “Our relationship with him goes back to our earliest days of advocacy. He has always understood the power of the word union and his intense curiosity always led him to seek a deeper understanding of how our members do their jobs and what our most important issues are as we have continued to try and make the system safer and make our members’ lives better.” \n\nIn 2008, NATCA presented DeFazio with the James L. Oberstar Sentinel of Safety Award, which is named for the late Minnesota congressman who served as T&I chairman from 2007 to 2011. It is NATCA’s highest award for those outside the Union and honors aviation leaders who have displayed outstanding achievement in the advancement of aviation safety. DeFazio was honored, in part, because of his unwavering support of NATCA members from 2006-2009 in which the FAA imposed work and pay rules on NATCA’s members. He stood with NATCA and our membership during the fight, and he was also one of the key leaders on legislation to amend Title 49 of the U.S. Code that ultimately provided a fair collective bargaining process for FAA employees.\n\nMost recently, DeFazio fought tirelessly on behalf of NATCA members and all federal employees to speak out against a government shutdown that lasted a record 35 days from Dec. 22, 2018 to Jan. 25, 2019 and degraded aviation safety. He spoke at NATCA’s rally on Capitol Hill on Jan. 10, 2019, stating, “So when are we going to end this damn thing? Today! I am sorry you have to be here. This is ridiculous.”\n\nDeFazio followed that up with swift action, convening a hearing on Feb. 13, 2019 to examine the effects of the shutdown and how it put the safety of U.S. aviation at risk. Later that year, he joined with T&I Aviation Subcommittee Chair Rick Larsen, D-Wash., and Reps. Bob Gibbs, R-Ohio, and Brian Fitzpatrick, R-Pa., in leading the introduction of H.R. 1108, the Aviation Funding Stability Act of 2019, bipartisan legislation that would protect FAA programs and personnel and the U.S. aviation system from the effects of future shutdowns. Earlier this fall, DeFazio led an effort to re-introduce the legislation – now named the Aviation Funding Stability Act of 2021 (H.R. 4042) - in the 117th Congress. NATCA strongly supports the bipartisan bill, which would authorize the FAA to draw from the Airport & Airway Trust Fund for 30 days in the event of a government shutdown, ensuring the system continues to operate safely and efficiently. \n\nDeFazio has spoken several times at NATCA’s legislative advocacy conference, NATCA in Washington. During one notable appearance, he stated, “Our aviation system is the largest, busiest, and safest system in the world. Thank you for your work, keeping millions of passengers safe on a daily basis. Aviation is critical in the U.S.; 12% of the U.S. economy links us to the rest of the world. And if we didn\'t have you as aviation safety professionals doing your jobs efficiently, we wouldn\'t be able to fly.""\n\n“NATCA today expresses that gratitude by saying a heartfelt thank you to the incomparable Chairman DeFazio,” Santa said.', 'NATCA UPDATE: FROM THE DESK OF NATCA PRESIDENT RICH SANTA\n\nThank you for trusting me to serve as NATCA president, a term which I proudly begin today. The last 18 months have been challenging for all of us personally and professionally, and for us collectively as a Union. In a typical year, we would have met for our Biennial Convention, Communicating For Safety, and NATCA in Washington. I would have traveled to many of our facilities to introduce myself and have valuable conversation as part of the campaign. Unfortunately, none of that has been possible due to the pandemic. Therefore, I want to express my sincere gratitude to you here for all the hard work you have done during the pandemic and acknowledge the challenges you’ve faced at home and work during this difficult time.\n\nI have served in many capacities for our Union, from FacRep to national workgroups and regional vice president. I have always tried to expand on our successes and evolve our processes to become more efficient and effective. That said, I recognize that no experience to this point could fully prepare me for the role of NATCA president. I am honored to serve the membership and act as your voice publicly and behind closed doors to improve upon and uphold the rights and benefits we enjoy as NATCA members. And I can promise you this: I will do everything I can to protect your safety and health, your rights at work, and our negotiated benefits, both as we fight this pandemic and as we emerge from it.\n\nI cannot succeed alone. NATCA, like all unions, is only as strong as our solidarity. I look forward to working closely with Andrew LeBovidge as our incoming executive vice president. Together, we will rely on the NATCA National Executive Board, our regional leadership teams, our national committees, NATCA staff, your locally elected leaders, and you, the membership. We cannot do what we need to do without your involvement. I want an opportunity to understand your concerns, represent your needs, and ultimately earn your ongoing support. I will embark on a member engagement campaign. To me, every voice matters. Hearing from NATCA’s members will be vital to continuing to develop new solutions to our common challenges. I want to hear your voice to help achieve those ends.\n\nWhen we talk about our past successes, we must learn from those who helped achieve them. A special thank you to Paul Rinaldi for his historically successful 12 years as NATCA president and three years as executive vice president (EVP), and Trish Gilbert for her 12 years as EVP. Paul and Trish established collaboration with the FAA, built new partnerships with the aviation industry, and made us a powerhouse in organized labor both legislatively and politically. Paul set the tone with his strategic and deliberative style while always maintaining his sights on the big picture.\n\nWhile honoring their service to and recognizing accomplishments on behalf of our great Union, we must continue growing NATCA and look for ways to address the challenges facing our members and the National Airspace System. Together, we will build upon our Union’s recent successes and work to make NATCA even stronger.\n\nAgain, I thank you for your support and your trust. And I repeat my hope that you will bring your ideas forward to improve our Union. Please feel free to send me your thoughts, concerns, and questions to leadership@natca.org.\n\nIn Solidarity,\n\nRich Santa\nPresident\n\nhttps://www.natca.org/2021/09/01/natca-update-from-the-desk-of-natca-president-rich-santa/', ""NATCA remains focused on ensuring our Union’s agenda advances in Congress. In October, NATCA President Rich Santa met with several top Congressional leaders to urge passage of a long-term FAA reauthorization bill to improve staffing and address the ongoing air traffic controller shortage. He also had discussions about a possible government shutdown next month, what this would mean for NATCA members, and the detrimental effects it would have on the National Airspace System.\n\nSanta met with: House Democratic Leader Hakeem Jeffries (N.Y.-8), House Democratic Whip Katherine Clark (Mass.-5), Senator Ben Ray Lujan (N.M.), Senator Gary Peters (Mich.), and Senator Sherrod Brown (Ohio)\n\nCongress has until Nov. 17 to reach an agreement on funding the government. FAA’s authorization expires Dec. 31.\n\n“Ahead of the holidays, I met with NATCA to discuss how to make our aviation system safer and more reliable to get you home safe and on time,” Senator Ben Ray Lujan (N.M.) posted on social media about the meeting. “With government funding set to run out in a month, our air traffic controllers and Federal Aviation Administration are at risk. I'm fighting to support them.”\n\nNATCA leadership, the National Legislative Committee, and national office staff will continue to make our members’ voices heard in Washington.\n\nLearn more about NATCA’s legislative activism, opportunities to get involved, and NATCA’s efforts from your National Legislative Committee. https://www.natca.org/committees/nlc/ \n\nhttps://www.natca.org/2023/10/30/natca-president-rich-santa-advocates-for-members-amid-shutdown-concerns-meets-top-congressional-leaders/""]"
3,3113,3_nationalnursesunited_employers_solidarity_nursesweek,"['nationalnursesunited', 'employers', 'solidarity', 'nursesweek', 'united', 'strike', 'staff', 'staffing', 'association', 'we']","['From the lack of support from hospital administration to short staffing, nurses are speaking out about what their work is really like.\n\nThis is why union nurses are fighting for national safe staffing ratios and a voice on the job!', 'Protect👏 Nurses👏', ""Nurses are vital to patient care. That’s why we're fighting for safe staffing standards to ensure patients receive the care they need.""]"
4,2974,4_usns_liberty_crewed_engineer,"['usns', 'liberty', 'crewed', 'engineer', 'crew', 'patrolman', 'congrats', 'chief', 'mymaritimecareer', 'hall']","['Congrats to SA Nilza Chavez (left) on receiving her full book. She’s pictured at the Jersey City hall with SIU Port Agent Ray Henderson. #1u #SIU #Seafarers #MyMaritimeCareer', 'Congrats to AB Jose Castillo Lino (left) on receiving his full book at the Houston hall late last month. He’s pictured with SIU Patrolman J.B. Niday. #1u #SIU #Seafarers #MyMaritimeCareer', 'Congrats to AB Jody Owens (left) on receiving his full book earlier this month. He’s pictured at the Oakland hall with SIU Port Agent J.B. Niday. #1u #SIU #Seafarers #mymaritimecareer']"
5,2003,5_workers_teamsters_union_organizing,"['workers', 'teamsters', 'union', 'organizing', 'secretary', 'wages', 'members', 'voted', 'benefits', 'joined']","['TEAMSTERS WARN ANHEUSER-BUSCH: SIGN CONTRACT OR FACE STRIKE, NATIONWIDE BOYCOTT\nTeamsters General President Sean M. O’Brien delivered a stern message to Anheuser-Busch as contract negotiations resumed today in Washington, D.C. — agree to the demands of the workers or risk another brand boycott and national walkout.\n\nJoined by Teamsters Brewery, Bakery, and Soft Drink Conference Director Jeff Padellaro and the Anheuser-Busch Teamsters National Negotiating Committee, O’Brien reminded AB InBev negotiators that Teamsters will not work a minute beyond the expiration of the current contract on Feb. 29, without a new deal.\n\nO’Brien and Padellaro gave Anheuser-Busch a full copy of the model contract that Anheuser-Busch Teamsters across the country overwhelmingly pre-ratified last week. With 94 percent approval by workers, the model agreement includes language protecting jobs, recapturing lost union work, increasing retirement benefits, and boosting wages.\n\nAfter telling Anheuser-Busch to respect the workers and sign the agreement, the Teamsters General President walked out of negotiations.\n\n“Anheuser-Busch needs to check its moral compass,” O’Brien said. “They’ve ignored workers for months. They make up excuses to not come to the bargaining table. They take our labor for granted while they pour millions into corporate advertising. It’s a disgrace. The Teamsters are more united than ever at Anheuser-Busch, and we are prepared for a full-scale strike and nationwide boycott.”\n\nOn Dec. 16, 5,000 Teamsters at 12 Anheuser-Busch breweries in the U.S. voted by 99 percent to authorize a strike. The Teamsters negotiating committee expects Anheuser-Busch to return to negotiations on Friday with a response to the members’ pre-ratified model agreement.\n\n“Anheuser-Busch has failed to address workers’ issues, so our model contract does the heavy lifting for these executives. It’s all laid out for them in black and white — what we need, what we’ve earned, what we expect,” Padellaro said. “All Anheuser-Busch has to do is finally make a decision to respect its workforce. Let’s get this thing done. There’s no sense in Anheuser-Busch driving its brand into the ground by turning its back on the people who make the beer.”\n\nTeamsters at Anheuser-Busch brew, package, and ship Budweiser, Bud Light, and other products, maintain breweries and equipment, and care for the world-famous Clydesdales.\n\nRead more: https://teamster.org/2024/01/teamsters-warn-anheuser-busch-sign-contract-or-face-strike-nationwide-boycott/', 'TEAMSTERS INCREASE FUTURE STRIKE BENEFITS FOR ANHEUSER-BUSCH WORKERS \n\nIn a major development in the fight for a strong contract protecting 5,000 Teamsters at Anheuser-Busch, the International Brotherhood of Teamsters announced today it will more than double strike pay to $1,000 per week for Anheuser-Busch Teamsters nationwide. \n\nThe increase will go into effect in the event Anheuser-Busch forces the Teamsters who brew, package, and ship Budweiser, Bud Light, and dozens of other beverage brands out on strike March 1. Anheuser-Busch Teamsters at 12 U.S. breweries are fighting for a fair contract that rewards and respects their hard work and sacrifices, which bring in $58 billion a year for the global beermaker. \n\n“With its ongoing refusal to invest in and protect American jobs, Anheuser-Busch is a legitimate threat to hardworking Teamsters. We’ve been clear with this company that the Teamsters have a strike fund of more than $300 million and we will use it to defend our members against those who threaten to destroy their livelihoods,” said Teamsters General President Sean M. O’Brien. “It’s important to increase benefits now in the event Anheuser-Busch puts itself on strike, so we make certain Teamster families don’t suffer undue burdens and can hold the line against corporate greed.”\n\nIn December, Anheuser-Busch Teamsters across the country voted by a resounding 99 percent to authorize a strike if the company does not come to terms on a strong agreement by the expiration of the current agreement on Feb. 29.\n\nAnheuser-Busch dragged its feet in negotiations for months, refusing to commit to job security for its Teamster workforce. On Feb. 1, the Teamsters demanded Anheuser-Busch deliver its last, best, and final offer, after the company wasted another negotiating session putting forth an unacceptable proposal intended to kill Teamster jobs by closing breweries and permanently laying off workers systemwide.\n\nO’Brien, Teamsters General Secretary-Treasurer Fred Zuckerman, and the Teamsters General Executive Board approved the increase in strike benefits in a special vote today, which was announced at the union’s annual Brewery, Bakery, and Soft Drink Conference.\n\n“Anheuser-Busch needs to respect and reward the Teamsters who make the company the billions of dollars it is now wasting on glitzy Super Bowl ads and greedy stock buybacks. Workers are fired up and ready to fight back. This increase in strike benefits makes sure our members are protected,” said Jeff Padellaro, Director of the Teamsters Brewery, Bakery, and Soft Drink Conference.', 'TEAMSTERS OVERWHELMINGLY RATIFY 5-YEAR CONTRACT AT ANHEUSER-BUSCH\nToday, Teamsters at Anheuser-Busch voted by an overwhelming 86 percent to ratify a five-year agreement that significantly raises pay, improves health care and retirement benefits, and protects all members’ jobs. The new agreement rewards 5,000 Teamsters working at Anheuser-Busch breweries nationwide.\n\n“In ratifying a strong new contract at Anheuser-Busch, Teamsters have clawed back concessions from earlier agreements, protected retirees and invested in their pensions, and will be taking home the higher wages we’ve fought for. It’s a significant victory for brewery workers in the United States,” said Teamsters General President Sean M. O’Brien. “This agreement provides the same high-quality health care for all rank-and-file Teamsters and protects every member’s job. Cheers to the workers who stayed in the fight to win a contract that sets a new standard for everyone in the brewing industry.”\n \n“Teamsters do incredible work in the breweries to make Anheuser-Busch successful, and under this contract, our members will share in that success,” said Jeff Padellaro, Director of the Teamsters Brewery, Bakery, and Soft Drink Conference. “I want to thank each and every member for rallying, practice picketing, and staying united — all your efforts were instrumental to winning this record-setting agreement.”\n \nHighlights of the 2024-2029 Anheuser-Busch Teamsters contract include:\n \n- Significant job security for all 5,000 Teamsters at Anheuser-Busch, including brewers, packagers, and warehouse workers\n- Wage increases of $8/hour, including an immediate $4/hour raise in the first year — average wage increases total 23 percent over the length of the agreement\n- $2,500 ratification bonus for every member\n- An end to two-tier health care, providing all workers with the same high-quality Teamsters health care coverage\n- Increased pension contributions and benefits nationwide\n- Increased maximum vacation accrual to 8 paid weeks\n- Restoration of retirement benefits for active and retired members\n \nBallots were counted Tuesday after three days of in-person voting. The tentative agreement reached on February 28 was unanimously recommended by the Teamsters National Negotiating Committee which includes Teamsters leaders and rank-and-file Anheuser-Busch Teamsters.']"
6,1934,6_workers_employees_staffing_union,"['workers', 'employees', 'staffing', 'union', 'org', 'governors', 'support', 'jobs', 'members', 'election']","['Let’s deliver a clear message that we stand with the USPS! We’re joining postal workers and allies for a national Day of Action on 8/25 to protect and strengthen our PUBLIC postal service. Join at https://www.apwu.org/aug25. #1u', '“The APWU welcomes this excellent news,” said APWU President Mark Dimondstein. “It is good for the environment, good for future postal revenues, good for postal workers and it is a huge step forward from the original management plans for an only 10% EV fleet. This is progress, for the people, the planet and the Postal Service.“', 'The U.S. Postal Service needs our help! 📮 Find out more and join the campaign to keep the Postal Service in public hands: http://ow.ly/GMbe50z9jcy APWU - The American Postal Workers Union']"
7,1570,7_union_workers_workforce_apprenticeshipworks,"['union', 'workers', 'workforce', 'apprenticeshipworks', 'nationalapprenticeshipweek', 'ironworkers', 'industry', 'contractors', 'national', 'conference']","['This week is National Apprenticeship Week, and we want to celebrate our apprentices who are the lifeblood of our Union and the construction industry. Meet our apprentices and see what they say about our #apprenticeship and training programs.\n#1u #NAW17 #ApprenticeshipWorks', ""The skilled Building Trades registered apprenticeship programs have been a path to the Middle Class for generations of Americans.  #NAW #ApprenticeshipWorks  \n\nLearn more about LIUNA's apprenticeship: https://www.liuna.org/apprenticeship"", ""Next week is National Apprenticeship Week. Our #apprentices are our future! What will you be doing to promote Roofers & Waterproofers apprenticeships? Let's highlight the good work being done by our apprentices and instructors. Visit https://www.apprenticeship.gov/national-apprenticeship-week for info on how to plan an event, issue a proclamation, and much more.""]"
8,1509,8_vote2020_electionday_voting_org,"['vote2020', 'electionday', 'voting', 'org', 'uswvotes', 'voter', 'ballots', 'elections', 'election', 'state']","['🧟\u200d♂️ Vote! 🧟\u200d♀️', '🚨 3 DAYS TO ELECTION DAY 🚨\u202f\u202f\u202f \n\nVoting rights are under attack, with new restrictions making it harder for communities of color and low-income voters to cast their ballots. Our democracy is strongest when every voice\n is heard, but voter suppression efforts are trying to silence us. This election, we’re fighting for the future of voting rights. Let’s vote for leaders who will expand access to the polls, protect the Voting Rights Act, and ensure everyone can participate\n in our democracy.\u202f\u202f\u202f \n\n🗳 Your vote protects the right to vote.', 'Ready. Set. VOTE! Are you and your family registered to vote? Check your voter registration / register to vote here: https://www.liunavotes.org/']"
